Time,CPU (Tctl/Tdie) [°C]
11:41:35.102,49.5
11:41:37.100,49.9
11:41:39.103,49.6
11:41:41.099,49.2
11:41:43.104,49.1
11:41:45.100,49.0
11:41:47.104,48.9
11:41:49.100,49.8
11:41:51.097,49.9
11:41:53.100,49.6
11:41:55.103,49.4
11:41:57.100,49.1
11:41:59.103,49.0
11:42:1.099,49.0
11:42:3.102,49.0
11:42:5.099,48.9
11:42:7.103,48.9
11:42:9.100,49.6
11:42:11.098,49.4
11:42:13.099,49.1
11:42:15.104,49.0
11:42:17.099,48.9
11:42:19.103,48.8
11:42:21.099,48.8
11:42:23.097,48.8
11:42:25.102,48.8
11:42:27.103,48.6
11:42:29.100,48.6
11:42:31.100,48.6
11:42:33.099,48.6
11:42:35.103,48.6
11:42:37.100,48.5
11:42:39.103,48.5
11:42:41.099,48.4
11:42:43.104,48.5
11:42:45.099,48.5
11:42:47.104,48.4
11:42:49.100,48.4
11:42:51.099,48.4
11:42:53.100,48.4
11:42:55.104,48.5
11:42:57.100,48.6
11:42:59.103,48.5
11:43:1.101,48.5
11:43:3.099,49.1
11:43:5.102,49.6
11:43:7.100,49.6
11:43:9.102,49.2
11:43:11.103,49.0
11:43:13.100,48.6
11:43:15.105,48.6
11:43:17.101,49.0
11:43:19.099,48.8
11:43:21.100,48.9
11:43:23.105,48.9
11:43:25.110,48.9
11:43:27.118,55.2
11:43:29.101,59.1
11:43:31.108,59.8
11:43:33.103,58.6
11:43:35.104,59.4
11:43:37.109,57.9
11:43:39.109,57.6
11:43:41.111,58.1
11:43:43.111,58.2
11:43:45.101,58.1
11:43:47.105,70.0
11:43:49.103,76.0
11:43:51.103,79.2
11:43:53.215,81.6
11:43:57.636,85.2
11:43:57.750,81.9
11:43:59.103,81.8
11:44:1.104,84.6
11:44:3.103,82.2
11:44:5.102,79.4
11:44:7.105,78.9
11:44:9.104,83.1
11:44:11.101,87.0
11:44:13.103,85.6
11:44:15.105,82.9
11:44:17.103,82.5
11:44:19.106,82.2
11:44:21.102,82.4
11:44:23.101,82.8
11:44:25.104,82.6
11:44:27.101,83.1
11:44:29.104,82.9
11:44:31.100,80.4
11:44:33.103,78.9
11:44:35.100,82.2
11:44:37.103,83.2
11:44:39.100,82.4
11:44:41.104,78.1
11:44:43.113,79.9
11:44:45.100,80.9
11:44:47.099,80.1
11:44:49.101,80.1
11:44:51.099,81.4
11:44:53.114,81.4
11:44:55.098,80.1
11:44:57.101,79.8
11:44:59.098,79.1
11:45:1.103,81.8
11:45:3.099,84.1
11:45:5.102,85.8
11:45:7.099,86.6
11:45:9.104,83.4
11:45:11.099,83.8
11:45:13.101,81.8
11:45:15.100,80.9
11:45:17.101,80.4
11:45:19.099,81.5
11:45:21.101,82.0
11:45:23.099,85.4
11:45:25.102,85.8
11:45:27.099,86.5
11:45:29.103,84.6
11:45:31.100,83.5
11:45:33.103,81.9
11:45:35.101,81.4
11:45:37.104,82.2
11:45:39.100,82.5
11:45:41.103,82.2
11:45:43.101,83.2
11:45:45.102,82.2
11:45:47.098,81.8
